sampleName,fileName,Dir,chr,day,batch,group
BRNA_Ts11-EB-D8-1,BRNA_Ts11-EB-D8-1_ReadsPerGene.txt,/Aneuploidy-drives-teratoma-metastasis/Dealing_bulk_RNA-seq/,Ts11,D8,230816,Aneuploidy
BRNA_Ts11-EB-D8-2,BRNA_Ts11-EB-D8-2_ReadsPerGene.txt,/Aneuploidy-drives-teratoma-metastasis/Dealing_bulk_RNA-seq/,Ts11,D8,230816,Aneuploidy
BRNA_Ts11-EB-D8-3,BRNA_Ts11-EB-D8-3_ReadsPerGene.txt,/Aneuploidy-drives-teratoma-metastasis/Dealing_bulk_RNA-seq/,Ts11,D8,230816,Aneuploidy
BRNA_Ts15-EB-D8-1,BRNA_Ts15-EB-D8-1_ReadsPerGene.txt,/Aneuploidy-drives-teratoma-metastasis/Dealing_bulk_RNA-seq/,Ts15,D8,230816,Aneuploidy
BRNA_Ts15-EB-D8-2,BRNA_Ts15-EB-D8-2_ReadsPerGene.txt,/Aneuploidy-drives-teratoma-metastasis/Dealing_bulk_RNA-seq/,Ts15,D8,230816,Aneuploidy
BRNA_Ts15-EB-D8-3,BRNA_Ts15-EB-D8-3_ReadsPerGene.txt,/Aneuploidy-drives-teratoma-metastasis/Dealing_bulk_RNA-seq/,Ts15,D8,230816,Aneuploidy
BRNA_WT-EB-D8-1,BRNA_WT-EB-D8-1_ReadsPerGene.txt,/Aneuploidy-drives-teratoma-metastasis/Dealing_bulk_RNA-seq/,WT,D8,230816,WT
BRNA_WT-EB-D8-2,BRNA_WT-EB-D8-2_ReadsPerGene.txt,/Aneuploidy-drives-teratoma-metastasis/Dealing_bulk_RNA-seq/,WT,D8,230816,WT
BRNA_WT-EB-D8-3,BRNA_WT-EB-D8-3_ReadsPerGene.txt,/Aneuploidy-drives-teratoma-metastasis/Dealing_bulk_RNA-seq/,WT,D8,230816,WT
BRNA_Ts6-EB-D8-1,BRNA_Ts6-EB-D8-1_ReadsPerGene.txt,/Aneuploidy-drives-teratoma-metastasis/Dealing_bulk_RNA-seq/,Ts6,D8,230816,Aneuploidy
BRNA_Ts6-EB-D8-2,BRNA_Ts6-EB-D8-2_ReadsPerGene.txt,/Aneuploidy-drives-teratoma-metastasis/Dealing_bulk_RNA-seq/,Ts6,D8,230816,Aneuploidy
BRNA_Ts6-EB-D8-3,BRNA_Ts6-EB-D8-3_ReadsPerGene.txt,/Aneuploidy-drives-teratoma-metastasis/Dealing_bulk_RNA-seq/,Ts6,D8,230816,Aneuploidy
BRNA_Ts8-EB-D8-1,BRNA_Ts8-EB-D8-1_ReadsPerGene.txt,/Aneuploidy-drives-teratoma-metastasis/Dealing_bulk_RNA-seq/,Ts8,D8,230816,Aneuploidy
BRNA_Ts8-EB-D8-2,BRNA_Ts8-EB-D8-2_ReadsPerGene.txt,/Aneuploidy-drives-teratoma-metastasis/Dealing_bulk_RNA-seq/,Ts8,D8,230816,Aneuploidy
BRNA_Ts8-EB-D8-3,BRNA_Ts8-EB-D8-3_ReadsPerGene.txt,/Aneuploidy-drives-teratoma-metastasis/Dealing_bulk_RNA-seq/,Ts8,D8,230816,Aneuploidy
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
