gene_list,GO
DDX3X,GO:0036493
EIF4G1,GO:0036493
NCK1,GO:0036493
DNAJC3,GO:0036493
NCK2,GO:0036493
JAG1,GO:0019827
ASCL2,GO:0019827
BCL9,GO:0019827
BMP7,GO:0019827
BMPR1A,GO:0019827
ZFP36L2,GO:0019827
CDH2,GO:0019827
CDX2,GO:0019827
CTNNB1,GO:0019827
DDX6,GO:0019827
EIF4E,GO:0019827
ELAVL1,GO:0019827
ELF5,GO:0019827
EPHA1,GO:0019827
ESRRB,GO:0019827
FANCC,GO:0019827
FANCD2,GO:0019827
FGF2,GO:0019827
FGF4,GO:0019827
FGF10,GO:0019827
FOXO1,GO:0019827
FOXO3,GO:0019827
GATA2,GO:0019827
KAT2A,GO:0019827
HES1,GO:0019827
RBPJ,GO:0019827
KIT,GO:0019827
LIF,GO:0019827
LIG4,GO:0019827
LOXL2,GO:0019827
LRP5,GO:0019827
SMAD2,GO:0019827
SMAD4,GO:0019827
MYC,GO:0019827
NODAL,GO:0019827
CNOT2,GO:0019827
CNOT3,GO:0019827
NOTCH1,GO:0019827
NOTCH2,GO:0019827
PAX2,GO:0019827
PBX1,GO:0019827
PCM1,GO:0019827
PRRX1,GO:0019827
POLR2A,GO:0019827
POLR2B,GO:0019827
POLR2C,GO:0019827
POLR2D,GO:0019827
POLR2E,GO:0019827
POLR2F,GO:0019827
POLR2G,GO:0019827
POLR2H,GO:0019827
POLR2I,GO:0019827
POLR2J,GO:0019827
POLR2K,GO:0019827
POLR2L,GO:0019827
POU5F1,GO:0019827
PROX1,GO:0019827
PTN,GO:0019827
RAF1,GO:0019827
REST,GO:0019827
SALL1,GO:0019827
SFRP1,GO:0019827
SKI,GO:0019827
SMO,GO:0019827
SOX2,GO:0019827
SOX4,GO:0019827
SOX9,GO:0019827
SPI1,GO:0019827
SS18,GO:0019827
STAT3,GO:0019827
TAL1,GO:0019827
TBX3,GO:0019827
HNF1B,GO:0019827
VPS72,GO:0019827
TDGF1,GO:0019827
KLF10,GO:0019827
NR2E1,GO:0019827
WNT7A,GO:0019827
WNT9B,GO:0019827
ZIC3,GO:0019827
PAX8,GO:0019827
HMGA2,GO:0019827
NCOA3,GO:0019827
SMC1A,GO:0019827
ARID1A,GO:0019827
EOMES,GO:0019827
FZD7,GO:0019827
